dyad.id,no. mids
2020,4
2040,15
2041,9
2042,5
2055,1
2070,23
2090,3
2091,1
2092,1
2093,7
2095,3
2100,4
2101,2
2130,7
2135,7
2140,2
2155,2
2200,13
2220,5
2225,1
2230,11
2255,7
2265,3
2290,1
2300,5
2305,1
2310,2
2315,4
2325,3
2339,1
2345,7
2350,1
2355,4
2360,4
2365,58
2380,1
2437,1
2450,1
2520,1
2600,1
2620,14
2625,1
2630,18
2640,1
2645,12
2651,5
2652,8
2663,1
2666,1
2678,1
2680,1
2700,3
2710,39
2713,1
2731,24
2740,6
2770,9
2800,2
2811,5
2816,3
2850,1
20041,2
20092,1
20220,2
20230,1
20235,1
20255,3
20310,1
20325,2
20345,5
20360,1
20365,5
20375,1
20390,2
20620,1
20645,1
20700,1
20710,1
20731,2
20740,1
40042,1
40051,1
40053,1
40054,1
40056,1
40057,1
40058,1
40101,2
40220,1
40255,2
40325,1
40482,1
40490,2
40520,1
40551,1
40560,1
40600,2
40651,1
40740,1
41042,8
41160,1
41200,4
41210,1
41220,1
41255,5
41310,1
41325,1
41355,1
41360,2
41740,1
42101,1
42220,2
42255,1
42325,1
42740,1
51055,1
51091,1
52101,3
53055,1
54055,1
55056,1
55057,1
55058,1
70090,4
70093,1
70200,3
70220,2
70230,2
70255,2
70325,1
70740,2
80090,5
90091,4
90092,6
90093,1
90200,4
90230,1
90255,2
90325,1
90740,1
91092,5
91093,20
91255,3
91325,1
91740,1
92093,2
92255,1
92325,2
92740,1
93094,13
93100,4
93255,2
93300,1
93310,2
93325,1
93355,2
93360,2
93740,1
94095,2
94255,1
94325,1
94740,1
95130,1
95255,4
95325,3
95731,1
95740,1
100101,14
100130,8
100135,8
100140,1
100200,2
100220,1
100255,2
100325,2
100365,1
100710,1
100731,1
101110,8
101155,1
101200,7
101210,5
101220,2
101255,3
101325,1
101365,1
101740,1
110115,4
110140,1
130135,26
130230,1
135140,3
135145,3
135155,10
135230,5
135255,1
135740,1
140145,1
140150,6
140160,4
140200,8
140220,4
140255,5
140325,2
140365,2
140620,1
140740,3
145150,14
145155,7
145160,1
145230,1
145255,1
145325,1
145740,1
150160,7
150200,1
150255,1
150740,1
155160,25
155200,4
155220,2
155230,4
155255,1
155325,1
155740,1
160165,3
160200,9
160220,4
160255,6
160345,2
160365,3
160385,1
160452,1
160645,1
160713,1
160740,1
165200,1
165255,3
165385,1
165740,1
200210,4
200220,8
200225,1
200230,7
200235,4
200240,1
200255,10
200265,2
200290,1
200300,1
200305,1
200310,2
200315,2
200325,10
200329,1
200339,2
200345,7
200350,8
200355,5
200360,4
200365,37
200368,1
200375,1
200380,3
200385,1
200390,2
200395,4
200500,1
200552,2
200600,1
200620,1
200630,9
200640,14
200645,13
200651,6
200652,2
200663,1
200666,2
200670,2
200678,5
200700,1
200710,13
200713,5
200730,1
200731,1
200740,8
200800,1
200850,2
205230,1
205255,1
205345,1
210211,2
210220,3
210255,3
210345,4
210365,4
210620,1
210645,3
210700,1
210710,2
210731,1
210740,1
210850,4
211255,9
211265,1
211300,1
211345,4
211365,3
211490,3
211620,1
211645,1
211710,1
211731,1
212255,1
212345,3
212620,1
212710,1
212731,1
220230,5
220235,2
220245,1
220255,21
220265,1
220267,1
220271,1
220290,1
220300,4
220310,1
220315,1
220325,13
220327,1
220329,1
220339,1
220344,1
220345,4
220350,6
220355,1
220365,13
220368,1
220437,4
220481,1
220484,1
220490,1
220500,1
220520,1
220540,2
220560,1
220581,1
220600,5
220616,4
220620,7
220625,1
220630,2
220640,16
220645,6
220651,2
220660,1
220663,1
220666,1
220670,1
220700,1
220710,11
220731,2
220740,6
220800,5
220900,1
225255,4
225345,1
225666,1
230235,2
230255,5
230300,1
230325,2
230345,4
230365,3
230411,1
230600,13
230615,1
230620,1
230645,1
230700,1
230710,1
230731,1
230732,1
235255,4
235300,1
235345,4
235365,2
235433,3
235434,1
235438,3
235484,1
235490,1
235510,1
235551,3
235553,1
235620,1
235700,1
235710,1
235750,2
235850,1
235900,1
240255,2
240280,1
240325,1
240390,1
245255,2
245280,1
245325,1
245380,1
255267,1
255269,3
255271,2
255273,2
255275,1
255290,3
255300,2
255305,1
255310,4
255315,2
255325,8
255339,1
255345,8
255350,6
255355,4
255360,5
255365,10
255366,2
255367,2
255368,1
255375,2
255380,6
255385,4
255390,5
255450,1
255530,1
255560,1
255620,1
255630,1
255640,5
255645,3
255651,3
255670,1
255700,1
255710,4
255740,2
255800,1
255900,1
255920,1
260265,4
260290,2
260315,5
260365,4
260395,1
260713,1
265315,1
267280,1
267325,1
267390,1
269280,1
269325,1
269390,1
271280,1
271325,1
271390,1
273280,1
273325,1
275280,1
275325,1
275390,1
280300,1
290315,3
290345,3
290365,9
290366,1
290368,2
290620,1
290645,1
290713,1
300325,11
300327,3
300329,2
300332,1
300337,2
300339,1
300345,4
300350,4
300360,3
300365,4
300390,1
300640,5
300710,2
300740,1
300800,1
305310,3
305315,1
305325,3
305345,4
310315,4
310325,1
310344,1
310345,13
310360,7
310365,2
310620,1
310900,1
310920,1
315355,1
315360,2
315365,1
315713,1
316345,3
316620,1
317345,1
317620,1
325327,1
325329,1
325339,6
325345,11
325350,6
325355,4
325360,1
325365,6
325368,1
325380,2
325390,1
325530,5
325560,1
325620,2
325630,1
325640,16
325645,3
325651,1
325670,1
325710,5
325750,1
325800,1
325900,1
325920,1
327329,1
338652,1
339343,3
339345,10
339350,5
339355,1
339620,1
339640,1
341620,1
343345,2
344345,5
344346,3
344349,1
344620,1
344850,1
345346,2
345347,2
345349,1
345350,4
345355,10
345360,6
345365,5
345366,1
345368,2
345369,1
345372,1
345373,1
345375,1
345380,1
345385,3
345390,4
345395,3
345600,1
345640,8
345663,1
345696,1
349620,1
350355,11
350365,4
350620,1
350640,50
350645,2
350700,1
350710,1
350731,1
352640,12
352651,2
355360,4
355365,7
355560,1
355620,1
355640,10
355666,1
355705,1
355900,1
355920,1
359365,2
359369,2
360365,6
360369,1
360620,1
360640,2
360900,1
360920,1
365366,7
365367,6
365368,6
365369,8
365372,12
365373,3
365375,9
365380,11
365385,15
365390,5
365433,1
365452,1
365625,1
365630,16
365640,31
365645,1
365663,1
365666,6
365698,1
365700,11
365705,1
365710,44
365713,3
365730,2
365732,7
365740,47
365770,1
365800,2
365812,2
365817,1
365840,1
365900,2
365920,2
366620,1
367620,1
368370,1
368411,1
368620,1
371373,8
371630,2
371640,3
372373,1
373630,4
375900,1
375920,1
380620,1
385390,1
385620,1
385900,1
390620,1
395620,1
404433,3
411481,1
420433,3
432435,2
432436,1
432439,3
432615,1
433435,2
433645,1
434436,1
434475,1
435600,2
435615,1
436483,1
436645,1
437438,4
437450,2
437475,1
438450,2
438451,2
438452,2
450451,4
450475,2
450740,1
451452,1
451475,1
451645,1
452461,6
452490,1
471475,7
471481,1
471482,2
475483,2
482483,2
482484,1
482500,1
482540,1
483500,1
483517,1
483620,6
483625,6
484490,7
484540,3
484600,1
484651,1
490500,10
490516,2
490517,9
490540,7
490551,7
490552,1
490560,1
490620,2
490626,1
500501,10
500510,5
500517,8
500540,1
500551,2
500552,1
500565,1
500600,1
500625,9
500651,1
500666,1
501510,1
501520,10
501530,6
501651,1
510516,5
510552,1
510560,1
510620,2
516517,5
517540,1
517552,1
517565,1
520530,20
520552,1
520620,1
522531,3
530531,9
530625,10
530710,1
530731,1
530740,1
531625,4
531679,5
540551,2
540552,1
540560,1
540600,2
540651,1
541552,1
541553,1
541560,3
541572,1
551552,7
551553,1
551560,9
552553,1
552560,2
552571,4
552580,1
560570,3
560571,5
560572,2
560710,1
560731,1
560740,1
565571,1
600615,6
600645,1
615666,2
616620,5
616645,1
616666,1
620625,6
620640,1
620651,10
620663,1
620666,2
620694,1
620696,1
620698,1
625626,2
625645,1
625651,6
625666,3
630640,13
630645,31
630651,1
630666,1
630670,8
630680,1
630690,8
630692,3
630694,4
630696,5
630698,1
630700,16
630740,1
630750,1
630770,4
640645,18
640651,2
640652,13
640666,2
640700,1
640710,1
640731,1
640740,1
645651,5
645652,7
645663,4
645666,10
645670,6
645690,17
645692,4
645694,2
645696,4
645698,3
645740,2
645770,2
645771,1
645900,2
651663,6
651666,37
651670,4
651740,1
652660,5
652663,10
652666,48
652670,1
660666,10
663666,12
663678,1
666670,7
666690,1
670678,9
670679,3
670680,1
670694,2
670740,2
678680,2
678698,1
680698,5
692694,1
700701,2
700702,4
700703,2
700704,5
700705,1
700770,16
700900,1
702703,2
702704,6
703704,6
710712,4
710713,27
710731,6
710732,15
710740,42
710750,22
710760,1
710770,1
710775,3
710790,2
710800,6
710811,1
710812,3
710816,20
710817,8
710820,1
710840,9
710850,1
710900,4
710920,3
712740,4
713731,1
713740,6
713775,2
713816,2
713817,1
713840,4
730740,1
731732,31
731740,9
731800,1
731840,1
731900,2
731920,1
732740,14
732811,1
732816,1
740800,1
740840,1
740850,2
740900,1
740910,1
740920,2
750770,40
750771,18
750775,2
750780,3
750790,4
750910,1
770775,1
771775,5
775800,30
800811,18
800812,10
800816,6
800820,3
800850,1
800900,1
800920,1
811812,1
811816,4
811817,9
811840,1
812816,4
816817,2
816820,1
816840,3
816850,1
816900,1
816920,1
817840,1
820830,2
820840,5
820850,6
840850,1
840986,1
850900,2
850910,6
910940,3
